  UID   PID  PPID   C STIME   TTY           TIME CMD
  270   664     1   0  6 925  ??        41:32.55 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000bbe com.apple.DriverKit-AppleBCMWLAN
  262   665     1   0  6 925  ??         0:00.17 /usr/libexec/cameracaptured
    0   666     1   0  6 925  ??         0:36.51 /usr/libexec/audioanalyticsd
  262   667     1   0  6 925  ??         0:00.48 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  270   669     1   0  6 925  ??         0:00.76 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000cc6 com.apple.DriverKit-IOUserDockChannelSerial
  270   670     1   0  6 925  ??         0:05.92 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000cc8 com.apple.AppleUserHIDDrivers
  296   671     1   0  6 925  ??         0:00.34 /usr/libexec/aneuserd
    0   672     1   0  6 925  ??         0:33.75 /usr/libexec/aned
  301   673     1   0  6 925  ??         0:02.21 /usr/libexec/modelmanagerd
    0   677     1   0  6 925  ??         0:05.23 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
    0   678     1   0  6 925  ??         0:00.41 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
    0   679     1   0  6 925  ??         0:00.07 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
    0   686     1   0  6 925  ??         0:00.92 /usr/libexec/symptomsd-diag
    0   694     1   0  6 925  ??         0:12.19 /usr/libexec/securityd_system
    0   696     1   0  6 925  ??         1:03.64 /usr/sbin/WirelessRadioManagerd
    0   697     1   0  6 925  ??         2:06.14 /usr/libexec/findmybeaconingd
    0   699     1   0  6 925  ??         0:38.07 /System/Library/CoreServices/TimeMachine/backupd
  262   705     1   0  6 925  ??         0:21.78 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  262   707     1   0  6 925  ??         0:00.29 /usr/sbin/cfprefsd agent
  262   709     1   0  6 925  ??         0:05.95 /usr/libexec/trustd --agent
    0   710     1   0  6 925  ??         0:00.76 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  200   711     1   0  6 925  ??         0:13.24 /usr/sbin/distnoted agent
    0   713     1   0  6 925  ??         0:06.03 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
    0   714     1   0  6 925  ??         0:02.97 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
    0   715     1   0  6 925  ??         1:05.48 /usr/libexec/sysmond
  278   716     1   0  6 925  ??         0:00.07 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  278   719     1   0  6 925  ??         0:00.09 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  278   720     1   0  6 925  ??         0:03.76 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  278   722     1   0  6 925  ??         0:12.71 /usr/sbin/distnoted agent
    0   725   520   0  6 925  ??         0:04.97 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
    0   729     1   0  6 925  ??         0:35.84 /System/Library/CoreServices/osanalyticshelper server-init
    0   730     1   0  6 925  ??         2:21.20 /usr/libexec/wifip2pd
    0   733     1   0  6 925  ??         0:23.75 /usr/sbin/BTLEServer
    0   734     1   0  6 925  ??        22:05.67 /usr/libexec/searchpartyd
    0   736     1   0  6 925  ??         0:06.26 /usr/libexec/wifianalyticsd
    0   740     1   0  6 925  ??         0:04.33 /System/Library/CoreServices/ReportCrash daemon
    0   741     1   0  6 925  ??         0:02.10 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
    0   744     1   0  6 925  ??         0:07.26 /usr/libexec/countryd
   55   746     1   0  6 925  ??         0:08.73 /System/Library/CoreServices/appleeventsd --server
    0   747     1   0  6 925  ??         5:44.36 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
  205   748     1   0  6 925  ??        59:34.06 /usr/libexec/locationd
  200   750     1   0  6 925  ??         1:23.73 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    0   774     1   0  6 925  ??         0:00.39 /Library/PrivilegedHelperTools/com.docker.vmnetd
    0   788     1   0  6 925  ??         0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  242   800     1   0  6 925  ??         0:12.34 /usr/sbin/distnoted agent
    0   810     1   0  6 925  ??        17:39.52 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
    0   822     1   0  6 925  ??         0:14.31 /usr/libexec/rtcreportingd
    0   863     1   0  6 925  ??         0:09.56 /usr/sbin/systemsoundserverd
   89   865     1   0  6 925  ??         0:13.29 /usr/sbin/distnoted agent
  501   878     1   0  6 925  ??         4:19.07 /usr/sbin/distnoted agent
   89   883     1   0  6 925  ??         0:02.99 /usr/libexec/trustd --agent
   89   884     1   0  6 925  ??         0:32.14 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
    0   885     1   0  6 925  ??         0:33.26 /usr/sbin/spindump
    0   886     1   0  6 925  ??         0:00.29 /System/Library/CoreServices/SubmitDiagInfo server-init
    0   891     1   0  6 925  ??         0:02.34 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  501   893     1   0  6 925  ??         4:16.49 /usr/sbin/cfprefsd agent
  501   899     1   0  6 925  ??         1:20.28 /usr/libexec/lsd
